season,stat_name,sample_size,mean,median,std,min,max,source,p10,p25,p40,p50,p60,p75,p90,p95
2026,avg,443,0.23721444695259597,0.24,0.042115519611996895,0.075,0.39,player_season,0.1814,0.2105,0.231,0.24,0.252,0.266,0.2848,0.295
2026,obp,443,0.31123024830699775,0.313,0.046595771775370415,0.125,0.446,player_season,0.2522,0.281,0.303,0.313,0.323,0.342,0.3688,0.38389999999999996
2026,slg,443,0.38587810383747184,0.384,0.0858768268225945,0.075,0.625,player_season,0.27140000000000003,0.3295,0.362,0.384,0.4064,0.442,0.4958,0.5239
2026,ops,443,0.6971264108352144,0.699,0.12166381279205347,0.2,1.055,player_season,0.5412,0.6214999999999999,0.6666000000000001,0.699,0.7242,0.7845,0.854,0.891
2026,k_pct,443,22.542437923250567,22.3,6.671177546571867,3.9,46.3,player_season,14.02,17.65,20.48,22.3,23.919999999999998,27.0,31.5,33.1
2026,avg_ev,448,87.83793706306167,88.1876862891207,3.2210729310335378,76.30666666666666,95.98933333333332,player_season,83.6274532967033,85.70100328947369,87.3562,88.1876862891207,89.07568796362767,90.05292910447761,91.50717649647888,92.68473420647149
2026,max_ev,448,109.56316964285715,109.6,3.1244364845874695,99.6,119.0,player_season,106.0,107.6,108.7,109.6,110.2,111.6,113.5,114.66499999999999
2026,hard_pct,448,38.47324811333072,39.014269810747905,8.842732815942865,9.865470852017937,60.19900497512438,player_season,27.246951219512198,32.35294117647059,36.84210526315789,39.014269810747905,41.124183006535944,44.81026108075288,49.28677014042868,51.290864061640065
2026,barrel_pct,448,7.798604121653887,7.416574990832416,4.433312643993604,0.0,23.383084577114428,player_season,2.4121112613482714,4.614997083311237,6.347657762291909,7.416574990832416,8.40769809697882,10.638297872340425,13.502579218865144,15.444139194139192
2026,swsp_pct,448,34.87464152176742,34.888357256778306,5.673657441815021,13.333333333333334,52.85714285714286,player_season,27.849660135945623,31.451612903225808,33.73891328683372,34.888357256778306,36.09287013774582,38.31915608036264,42.23412698412698,44.44444444444444
2026,avg_dist,448,163.9684441197272,164.76804012744338,21.416202203672295,76.83870967741936,230.40625,player_season,137.60862843551797,150.93503213957757,159.40612147297944,164.76804012744338,170.00185661130078,176.67646069494435,190.88954402515722,199.40651392632523
2026,pitch_ops,2540,0.7016165354330709,0.694,0.29550068448267436,0.0,2.125,batter_pitch_type_split,0.333,0.51,0.626,0.694,0.755,0.873,1.074,1.1942999999999984
2026,pitch_xwoba_con,2498,0.3638711543750651,0.3519671052631579,0.11205535122524467,0.013800000000000002,1.105,batter_pitch_type_split,0.23467062937062935,0.28833585858585864,0.3271980952380953,0.3519671052631579,0.37958214285714287,0.42478125,0.5068850000000001,0.5685213953488373
2026,pitch_whiff_pct,2588,23.88771857991709,22.727272727272727,12.08106701280645,0.0,77.41935483870968,batter_pitch_type_split,9.090909090909092,14.634146341463413,19.0390002154708,22.727272727272727,26.48259303721489,32.25806451612903,40.43270380109969,45.0
2026,pitch_hard_pct,2501,38.40477368502002,38.46153846153847,15.628853089532857,0.0,100.0,batter_pitch_type_split,18.181818181818183,28.57142857142857,35.0,38.46153846153847,42.857142857142854,50.0,58.333333333333336,63.04347826086957
2026,pitch_barrel_pct,2501,8.068020760411702,6.666666666666667,8.196161047042462,0.0,50.0,batter_pitch_type_split,0.0,0.0,4.545454545454546,6.666666666666667,9.090909090909092,12.5,18.75,23.809523809523807
