pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name
FF,2025-07-27,98.7,-2.74,5.54,"Skenes, Paul",672695,694973,,foul,,,,,7.0,Foul,R,L,R,PIT,AZ,S,,,2,2,2025,-1.1,1.01,-0.4871734291680212,1.852953636303496,,,,0,6,Top,,,,,,,8.743727737927921,-143.32485425089232,-6.986900976386143,-17.21750257453286,32.71337129337283,-16.753717810675404,3.52,1.61,246.0,77.2,39.0,99.3,2373.0,6.7,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.79,,,,,,,,41,6,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,239.0,0.0,0.0,71.2,6.8,,0.0,88.0,3,-3,0.865,0.135,23,25,23,26,3,2,6.0,1.0,6.0,1.0,1.33,1.1,-1.1,27.7,-6.987875803722539,10.003937904900113,42.290115295773965,37.69955571096415,15.208492593159066,Geraldo Perdomo
CH,2025-07-27,87.9,-2.91,5.6,"Skenes, Paul",672695,694973,,foul,,,,,13.0,Foul,R,L,R,PIT,AZ,S,,,2,2,2025,-1.27,0.84,-0.6462555318139931,1.285654862715918,,,,0,6,Top,,,,,,,8.199473932700897,-127.58188710423248,-6.057398964758547,-15.628755021752005,27.944096707058183,-21.88921185747258,3.52,1.61,137.0,67.7,71.0,88.3,1739.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.65,,,,,,,,41,5,Changeup,3,0,0,3,0,3,0,3,Infield shade,Standard,260.0,0.0,0.0,61.8,8.1,,0.0,88.0,3,-3,0.865,0.135,23,25,23,26,3,2,6.0,1.0,6.0,1.0,2.14,1.27,-1.27,23.0,16.18795294431853,-19.428230003201744,39.074120423140464,40.79506338259316,37.78649113347048,Geraldo Perdomo
FS,2025-07-27,92.5,-2.74,5.58,"Skenes, Paul",672695,694973,,foul,,,,,7.0,Foul,R,L,R,PIT,AZ,S,,,2,1,2025,-0.94,-0.21,-0.7212515850661356,1.867800220846398,,,,0,6,Top,,,,,,,7.271894479351899,-134.56788337636036,-3.2472807995118265,-13.008761215252946,27.265397155316855,-34.232382862379275,3.52,1.61,,,,93.5,1460.0,6.7,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.77,,,,,,,,41,4,Split-Finger,3,0,0,3,0,3,0,3,Standard,Standard,250.0,0.006,-0.073,69.5,7.1,,0.073,,3,-3,0.859,0.141,23,25,23,26,3,2,6.0,1.0,6.0,1.0,2.86,0.94,-0.94,26.6,3.264515063452886,10.73956394164813,28.204429473928503,43.500459925326936,19.154605936667643,Geraldo Perdomo
FF,2025-07-27,96.6,-2.75,5.59,"Skenes, Paul",672695,694973,,ball,,,,,11.0,Ball,R,L,R,PIT,AZ,B,,,1,1,2025,-1.09,0.97,-0.9796084044605636,3.592478568319063,,,,0,6,Top,,,,,,,7.263310169602735,-140.610838342694,-2.0081661559693837,-16.022539117026188,30.56656289574572,-19.06074496774268,3.52,1.62,,,,97.6,2184.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.73,,,,,,,,41,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,236.0,-0.005,0.055,,,,-0.055,,3,-3,0.864,0.136,23,25,23,26,3,2,6.0,1.0,6.0,1.0,1.47,1.09,-1.09,21.1,,,,,,Geraldo Perdomo
CU,2025-07-27,84.6,-2.73,5.69,"Skenes, Paul",672695,694973,,ball,,,,,14.0,Ball,R,L,R,PIT,AZ,B,,,0,1,2025,0.2,0.04,0.8738747718300076,1.585586409720931,,,,0,6,Top,,,,,,,8.075693177447814,-123.00594352950814,-3.3538692098062715,0.5394115171346773,22.39077285928356,-31.37484866870314,3.52,1.6,,,,85.5,2266.0,6.7,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.79,,,,,,,,41,2,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,74.0,-0.003,0.031,,,,-0.031,,3,-3,0.867,0.133,23,25,23,26,3,2,6.0,1.0,6.0,1.0,3.13,-0.2,0.2,25.9,,,,,,Geraldo Perdomo
FF,2025-07-27,96.5,-2.67,5.63,"Skenes, Paul",672695,694973,,called_strike,,,,,4.0,Called Strike,R,L,R,PIT,AZ,S,,,0,0,2025,-1.02,1.14,-0.4558997641483905,2.7720240251980828,,,,0,6,Top,,,,,,,8.289938417660052,-140.26189101736196,-4.69287908727517,-15.37036683390589,30.629587804872795,-16.161297728545204,3.52,1.58,,,,97.4,2286.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.73,,,,,,,,41,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,233.0,0.004,-0.039,,,,0.039,,3,-3,0.863,0.137,23,25,23,26,3,2,6.0,1.0,6.0,1.0,1.3,1.02,-1.02,24.8,,,,,,Geraldo Perdomo
FF,2025-07-27,97.4,-2.77,5.58,"Skenes, Paul",606466,694973,field_out,hit_into_play,,,,,8.0,Ketel Marte grounds out sharply to first baseman Spencer Horwitz.,R,L,R,PIT,AZ,X,3.0,ground_ball,2,1,2025,-1.14,0.86,0.0751462164255045,1.956190755122046,,,,2,5,Top,157.39,167.9,,,,,10.31704449822552,-141.36840289823994,-6.168481463211691,-17.69079657420669,34.87897288287376,-19.354836641740064,3.6,1.65,30.0,107.2,-2.0,97.7,2157.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.71,0.468,0.431,0.0,1.0,0.0,0.0,4.0,37,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,242.0,0.01,-0.296,76.3,8.0,0.513,0.296,107.2,3,-3,0.874,0.126,23,31,23,32,3,2,6.0,1.0,6.0,1.0,1.57,1.14,-1.14,25.0,11.324551070216248,-10.978310309531604,36.00357821997277,30.472507574205355,34.87589343973337,Ketel Marte
FS,2025-07-27,93.0,-2.63,5.57,"Skenes, Paul",606466,694973,,foul,,,,,8.0,Foul,R,L,R,PIT,AZ,S,,,2,0,2025,-0.86,0.16,0.2377312341383103,1.784913815515055,,,,2,5,Top,,,,,,,9.277109820606888,-135.0405496547547,-4.2464282581833075,-12.53877963907062,30.473584255745106,-29.48007700239025,3.6,1.65,7.0,104.1,-16.0,93.2,1483.0,6.6,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.87,,,,,,,,37,3,Split-Finger,3,0,0,3,0,3,0,3,Standard,Standard,248.0,0.003,-0.066,78.5,8.3,,0.066,104.1,3,-3,0.871,0.129,23,31,23,32,3,2,6.0,1.0,6.0,1.0,2.5,0.86,-0.86,21.2,14.989334037013604,-20.394515872664066,34.28836132762498,29.41989815607468,46.271559676766586,Ketel Marte
CU,2025-07-27,82.9,-2.75,5.65,"Skenes, Paul",606466,694973,,ball,,,,,13.0,Ball,R,L,R,PIT,AZ,B,,,1,0,2025,0.31,-0.31,-1.0739323878079574,2.180766052442092,,,,2,5,Top,,,,,,,3.26506204506382,-120.87377634816238,-0.949413133280572,2.5423697229147324,20.8970255437966,-35.21658479284158,3.47,1.56,,,,84.3,2311.0,6.9,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.63,,,,,,,,37,2,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,76.0,-0.003,0.065,,,,-0.065,,3,-3,0.874,0.126,23,31,23,32,3,2,6.0,1.0,6.0,1.0,3.58,-0.31,0.31,26.5,,,,,,Ketel Marte
FF,2025-07-27,97.6,-2.91,5.56,"Skenes, Paul",606466,694973,,ball,,,,,13.0,Ball,R,L,R,PIT,AZ,B,,,0,0,2025,-1.16,0.82,-1.708411479588198,1.9105219367823776,,,,2,5,Top,,,,,,,5.955292438601462,-141.92178935482426,-6.193559297353852,-17.023588905421974,35.07203932462178,-19.86947659422981,3.67,1.76,,,,98.1,2185.0,6.8,776984,680779,687462,693304,663647,643396,502054,665833,669261,53.68,,,,,,,,37,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,237.0,-0.001,0.037,,,,-0.037,,3,-3,0.875,0.125,23,31,23,32,3,2,6.0,1.0,6.0,1.0,1.59,1.16,-1.16,24.7,,,,,,Ketel Marte
