mlbam_id,player_name,team,age,games,BF,IP,IP_est,H,ER,RA,ERA,BB,SO,HR,HBP,WHIP,K9,BB9,pitches,Zone_pct,Whiff_pct,Chase_pct,CSW_pct,avg_velo,avg_spin_rpm,xwOBA_on_BIP,HH_pct_against,GB_pct_on_BIP
701808,Cody Morse,ONT,22,4,16,3.667,3.667,3,1,1,2.4545,2,7,0,0,1.3636,17.1818,4.9091,66,0.4697,0.3226,0.3143,0.3333,88.3667,2314.8254,,0.2857,0.2857
675848,Juan Mejia,COL,25,4,15,3.667,3.667,1,1,1,2.4545,3,5,0,0,1.0909,12.2727,7.3636,64,0.4688,0.44,0.1471,0.3281,93.9698,2480.0794,,0.4286,0.5714
701568,Justin Meis,ALT,26,4,15,3.667,3.667,2,1,1,2.4545,1,3,0,1,0.8182,7.3636,2.4545,55,0.4364,0.2857,0.3226,0.2909,92.6146,2541.9167,,0.2,0.3
643377,Griffin Jax,TB,31,4,15,3.667,3.667,4,1,1,2.4545,1,5,0,0,1.3636,12.2727,2.4545,64,0.4375,0.3939,0.4167,0.3438,91.6734,2535.9688,,0.7778,0.5556
688730,Marques Johnson,RIC,25,4,14,3.667,3.667,3,1,1,2.4545,0,6,0,0,0.8182,14.7273,0,40,0.55,0.48,0.5556,0.45,90.0725,2523.925,,0.25,0.375
680916,Franco Aleman,COL,25,4,19,3.667,3.667,5,2,2,4.9091,3,2,1,0,2.1818,4.9091,7.3636,65,0.5231,0.2333,0.2258,0.2769,93.4431,2510.6615,,0.5,0.5
680730,Mitchell Parker,ROC,26,2,17,3.667,3.667,1,2,2,4.9091,5,3,0,0,1.6364,7.3636,12.2727,86,0.3953,0.3103,0.1538,0.2791,85.0802,2075.1163,,0.1111,0.4444
695243,Mason Miller,SD,27,4,16,3.667,3.667,3,1,2,2.4545,1,5,0,0,1.0909,12.2727,2.4545,75,0.48,0.3235,0.2308,0.2933,94.8933,2335.3467,,0.4444,0.3333
689690,Alek Jacob,SD,27,4,16,3.667,3.667,2,2,2,4.9091,2,6,0,1,1.0909,14.7273,4.9091,76,0.4342,0.4146,0.3256,0.3026,79.4816,2204,,0.2857,0.4286
595881,Tyler Beede,IOW,32,7,20,3.667,3.667,5,3,3,7.3636,4,2,1,0,2.4545,4.9091,9.8182,88,0.4432,0.2368,0.2041,0.2159,88.2705,1860.8182,,0.5714,0.5
680729,Garrett McDaniels,LAD,26,4,19,3.667,3.667,9,3,3,7.3636,1,0,2,0,2.7273,0,2.4545,69,0.4928,0.125,0.3143,0.2319,89.2754,2401.6812,,0.5556,0.4444
662253,Andrés Muñoz,SEA,27,4,17,3.667,3.667,4,3,3,7.3636,1,7,1,1,1.3636,17.1818,2.4545,66,0.4697,0.3448,0.4286,0.3788,90.9212,2274.8571,,0.75,0.25
800212,Francis Peña,SD,25,4,16,3.667,3.667,3,3,3,7.3636,3,4,1,0,1.6364,9.8182,7.3636,71,0.3521,0.2759,0.2826,0.2958,90.9259,2002.431,,0.4444,0.2222
695026,Jeremy Wu-Yelland,BOS,26,4,22,3.667,3.667,4,4,4,9.8182,3,2,1,4,1.9091,4.9091,7.3636,83,0.4096,0.1667,0.1633,0.1928,88.5024,2416.3049,,0.3846,0.3846
