mlbam_id,player_name,team,age,games,PA,AB,H,1B,2B,3B,HR,R,RBI,SB,BB,SO,HBP,SF,SH,GIDP,AVG,OBP,SLG,OPS,K_pct,BB_pct,wOBA,xwOBA_on_BIP,HH_pct,GB_pct_on_BIP,EV_avg_on_BIP,LA_avg_on_BIP,bat_speed_avg,swing_length_avg
596115,"Story, Trevor",BOS,33,12,38,37,15,8,4,3,0,6,3,1,1,10,0,0,0,0,0.4054,0.4211,0.6757,1.0967,26%,3%,,,48%,33%,90.4692,14.8462,,
815873,"Keys, Sean",TOR,22,18,37,31,6,3,2,0,1,5,2,0,5,11,1,0,0,2,0.1935,0.3243,0.3548,0.6792,30%,14%,,,35%,50%,87.7,4.85,,
669003,"Mitchell, Garrett",MIL,27,11,37,32,2,0,1,0,1,4,4,1,5,19,0,0,0,0,0.0625,0.1892,0.1875,0.3767,51%,14%,,,69%,62%,99.0615,-3.3077,,
668901,"Vientos, Mark",NYM,26,11,37,35,2,0,1,0,1,1,2,0,1,7,1,0,0,4,0.0571,0.1081,0.1714,0.2795,19%,3%,,,50%,54%,95.56,10.52,,
694661,"Tirotta, Riley",TOR,27,17,37,31,7,2,4,0,1,5,2,0,5,12,1,0,0,0,0.2258,0.3514,0.4516,0.803,32%,14%,,,42%,16%,89.3789,31.4211,,
518692,"Freeman, Freddie",LAD,36,13,37,31,13,9,3,0,1,6,10,0,5,2,0,1,0,0,0.4194,0.4865,0.6129,1.0994,5%,14%,,,43%,47%,91.1571,8.4643,,
605353,"Machín, Vimael",COL,32,18,37,33,7,3,4,0,0,5,4,0,3,6,1,0,0,2,0.2121,0.2973,0.3333,0.6306,16%,8%,,,56%,44%,94.3296,7.6296,,
690914,"Moore, Brody",STL,25,22,37,34,6,5,1,0,0,1,1,0,0,5,1,0,2,1,0.1765,0.2,0.2059,0.4059,14%,0%,,,29%,61%,86.7241,0.0345,,
688457,"Cross, Gavin",KC,25,16,37,35,10,7,1,0,2,4,7,0,2,14,0,0,0,0,0.2857,0.3243,0.4857,0.81,38%,5%,,,48%,33%,91.4619,17.5714,,
672463,"Lantigua, Rafael",BUF,27,21,37,32,11,10,1,0,0,6,2,2,5,7,0,0,0,1,0.3438,0.4324,0.375,0.8074,19%,14%,,,20%,48%,82.3826,8.9565,,
683021,"Stefanic, Michael",ATH,30,17,37,34,14,10,2,1,1,8,8,1,3,1,0,0,0,0,0.4118,0.4595,0.6176,1.0771,3%,8%,,,45%,61%,89.6355,0.7419,,
675961,"Williams, Alika",IND,26,18,37,31,8,6,1,0,1,6,7,0,4,4,1,1,0,0,0.2581,0.3514,0.3871,0.7384,11%,11%,,,18%,32%,80.0929,18.1071,,
622268,"Walton, Donovan",LAA,31,18,37,30,9,7,2,0,0,3,3,0,4,6,1,0,2,0,0.3,0.4,0.3667,0.7667,16%,11%,,,38%,58%,86.0077,11.1923,,
687724,"Holton, Jake",SAC,28,19,37,34,9,7,1,0,1,3,8,0,1,7,1,1,0,2,0.2647,0.2973,0.3824,0.6797,19%,3%,,,14%,61%,80.7481,8.0741,,
687551,"Gilbert, Drew",SF,25,12,37,34,9,8,0,1,0,5,2,0,3,7,0,0,0,1,0.2647,0.3243,0.3235,0.6479,19%,8%,,,30%,37%,81.8852,12.0741,,
680911,"Miller, Owen",IOW,29,16,37,30,8,5,3,0,0,5,6,3,5,8,0,2,0,1,0.2667,0.3514,0.3667,0.718,22%,14%,,,42%,46%,90.9583,10.25,,
666023,"Fermin, Freddy",SD,30,13,37,35,14,9,3,0,2,10,11,0,2,3,0,0,0,0,0.4,0.4324,0.6571,1.0896,8%,5%,,,34%,31%,86.4844,20.875,,
668227,"Arozarena, Randy",SEA,31,11,37,31,8,6,1,0,1,6,6,2,5,8,1,0,0,1,0.2581,0.3784,0.3871,0.7655,22%,14%,,,39%,43%,88.1652,14.2609,,
694212,"Basallo, Samuel",BAL,21,12,37,32,13,5,5,0,3,9,11,0,5,7,0,0,0,1,0.4062,0.4865,0.8438,1.3302,19%,14%,,,64%,28%,97.7833,18.375,,
691182,"Amador, Adael",ABQ,22,12,37,35,8,5,1,0,2,6,5,2,2,6,0,0,0,3,0.2286,0.2703,0.4286,0.6988,16%,5%,,,28%,55%,84.7793,11.5862,,
676801,"McCormick, Chas",IOW,30,13,37,36,8,4,3,0,1,4,4,0,0,13,0,1,0,2,0.2222,0.2162,0.3889,0.6051,35%,0%,,,38%,25%,87.187,25.1304,,
